workerProvidedMaterials,workerProvidedEquipment,workerUsedVehicle,workerHadOtherExpenses,expensesAreNotRelevantForRole,workerMainIncome,paidForSubstandardWork
Yes,,,,,,,OutOfIR35,TRUE,
,Yes,,,,,,OutOfIR35,TRUE,
,,Yes,,,,outsideOfHoursNoCharge,OutOfIR35,TRUE,
,,Yes,Yes,,,,OutOfIR35,TRUE,
,,,,yes,incomeCommission,outsideOfHoursNoCharge,OutOfIR35,TRUE,
,,,Yes,,incomeCommission,,OutOfIR35,TRUE,
,,,,yes,incomeFixed,asPartOfUsualRateInWorkingHours,Low,FALSE,
,,,,yes,incomeFixed,outsideOfUsualRateAndHours,Low,FALSE,
,,,,yes,incomeFixed,outsideOfHoursNoCharge,OutOfIR35,TRUE,
,,,,yes,incomeFixed,noObligationToCorrect,Medium,FALSE,
,,,,yes,incomeFixed,cannotBeCorrected,Medium,FALSE,
,,,,,incomeProfitOrLosses,outsideOfHoursNoCharge,OutOfIR35,TRUE,
,,,Yes,,incomeProfitOrLosses,,OutOfIR35,TRUE,
,,,Yes,,,outsideOfHoursNoCharge,OutOfIR35,TRUE,
,,,,Yes,incomeCalendarPeriods,noObligationToCorrect,Low,FALSE,
,,,,Yes,incomePieceRate,noObligationToCorrect,Low,FALSE,
,,,,Yes,incomeCalendarPeriods,asPartOfUsualRateInWorkingHours,Low,FALSE,
,,,,Yes,incomeCalendarPeriods,outsideOfUsualRateAndHours,Low,FALSE,
,,,,Yes,incomePieceRate,asPartOfUsualRateInWorkingHours,Low,FALSE,
,,,,Yes,incomePieceRate,outsideOfUsualRateAndHours,Low,FALSE,
,,,,Yes,incomePieceRate,cannotBeCorrected,Low,FALSE,
,,,,Yes,incomeCalendarPeriods,cannotBeCorrected,Low,FALSE,
