workerProvidedMaterials,workerProvidedEquipment,workerUsedVehicle,workerHadOtherExpenses,expensesAreNotRelevantForRole,workerMainIncome,paidForSubstandardWork,,
Yes,,,,,,,OutOfIR35,TRUE
,Yes,,,,,,OutOfIR35,TRUE
,,Yes,,,,outsideOfHoursNoCharge,OutOfIR35,TRUE
,,Yes,Yes,,,,OutOfIR35,TRUE
,,,,Yes,incomeCommission,outsideOfHoursNoCharge,OutOfIR35,TRUE
,,,Yes,,incomeCommission,,OutOfIR35,TRUE
,,,,Yes,incomeFixed,asPartOfUsualRateInWorkingHours,LOW,FALSE
,,,,Yes,incomeFixed,outsideOfUsualRateAndHours,LOW,FALSE
,,,,Yes,incomeFixed,outsideOfHoursNoCharge,OutOfIR35,TRUE
,,,,Yes,incomeProfitOrLosses,outsideOfHoursNoCharge,OutOfIR35,TRUE
,,,Yes,,incomeProfitOrLosses,,OutOfIR35,TRUE
,,,Yes,,incomeCalendarPeriods,outsideOfHoursNoCharge,OutOfIR35,TRUE
,,,Yes,,incomeFixed,outsideOfHoursNoCharge,OutOfIR35,TRUE
,,,Yes,,incomePieceRate,outsideOfHoursNoCharge,OutOfIR35,TRUE
,,,,Yes,incomeCalendarPeriods,noObligationToCorrect,LOW,FALSE
,,,,Yes,incomePieceRate,noObligationToCorrect,LOW,FALSE
,,,,Yes,incomeCalendarPeriods,asPartOfUsualRateInWorkingHours,LOW,FALSE
,,,,Yes,incomeCalendarPeriods,outsideOfUsualRateAndHours,LOW,FALSE
,,,,Yes,incomePieceRate,asPartOfUsualRateInWorkingHours,LOW,FALSE
,,,,Yes,incomePieceRate,outsideOfUsualRateAndHours,LOW,FALSE
,,,,Yes,incomePieceRate,cannotBeCorrected,LOW,FALSE
,,,,Yes,incomeCalendarPeriods,cannotBeCorrected,LOW,FALSE
