personalService,control,financialRisk,partAndParcel,finalDecision,
Medium,Medium,Low,High,InIR35,TRUE
Medium,Medium,Low,Medium,InIR35,TRUE
Medium,Medium,Low,Low,unknown,TRUE
Medium,High,Low,Low,InIR35,TRUE
Medium,High,Low,Medium,InIR35,TRUE
Medium,High,Low,High,InIR35,TRUE
High,Medium,Low,Low,InIR35,TRUE
High,Medium,Low,Medium,InIR35,TRUE
High,Medium,Low,High,InIR35,TRUE
High,High,Low,Low,InIR35,TRUE
High,High,Low,Medium,InIR35,TRUE
High,High,Low,High,InIR35,TRUE
High,High,Medium,Low,InIR35,TRUE
High,High,Medium,Medium,InIR35,TRUE
Medium,Medium,Medium,Low,unknown,TRUE
Medium,Medium,Medium,Medium,unknown,TRUE
Medium,Medium,Medium,High,unknown,TRUE
Medium,High,Medium,Low,InIR35,TRUE
Medium,High,Medium,Medium,InIR35,TRUE
Medium,High,Medium,High,InIR35,TRUE
High,Medium,Medium,Low,unknown,TRUE
High,Medium,Medium,Medium,unknown,TRUE
High,Medium,Medium,High,InIR35,TRUE
High,High,Medium,High,InIR35,TRUE
