exclusiveContract,transferRights,multipleEngagements,significantWorkingTime,seriesOfContracts,Result
unableToProvideServices,rightsTransferredToClient,providedServicesToOtherEngagers,consumesSignificantAmount,contractIsPartOfASeries,LOW
unableToProvideServices,rightsTransferredToClient,providedServicesToOtherEngagers,consumesSignificantAmount,standAloneContract,MEDIUM
unableToProvideServices,rightsTransferredToClient,providedServicesToOtherEngagers,consumesSignificantAmount,contractCouldBeExtended,LOW
unableToProvideServices,rightsTransferredToClient,providedServicesToOtherEngagers,noSignificantAmount,contractIsPartOfASeries,LOW
unableToProvideServices,rightsTransferredToClient,providedServicesToOtherEngagers,noSignificantAmount,standAloneContract,MEDIUM
unableToProvideServices,rightsTransferredToClient,providedServicesToOtherEngagers,noSignificantAmount,contractCouldBeExtended,MEDIUM
unableToProvideServices,rightsTransferredToClient,onlyContractForPeriod,consumesSignificantAmount,contractIsPartOfASeries,LOW
unableToProvideServices,rightsTransferredToClient,onlyContractForPeriod,consumesSignificantAmount,standAloneContract,LOW
unableToProvideServices,rightsTransferredToClient,onlyContractForPeriod,consumesSignificantAmount,contractCouldBeExtended,LOW
unableToProvideServices,rightsTransferredToClient,onlyContractForPeriod,noSignificantAmount,contractIsPartOfASeries,LOW
unableToProvideServices,rightsTransferredToClient,onlyContractForPeriod,noSignificantAmount,standAloneContract,LOW
unableToProvideServices,rightsTransferredToClient,onlyContractForPeriod,noSignificantAmount,contractCouldBeExtended,LOW
unableToProvideServices,rightsTransferredToClient,noKnowledgeOfExternalActivity,consumesSignificantAmount,contractIsPartOfASeries,LOW
unableToProvideServices,rightsTransferredToClient,noKnowledgeOfExternalActivity,consumesSignificantAmount,standAloneContract,LOW
unableToProvideServices,rightsTransferredToClient,noKnowledgeOfExternalActivity,consumesSignificantAmount,contractCouldBeExtended,LOW
unableToProvideServices,rightsTransferredToClient,noKnowledgeOfExternalActivity,noSignificantAmount,contractIsPartOfASeries,LOW
unableToProvideServices,rightsTransferredToClient,noKnowledgeOfExternalActivity,noSignificantAmount,standAloneContract,LOW
unableToProvideServices,rightsTransferredToClient,noKnowledgeOfExternalActivity,noSignificantAmount,contractCouldBeExtended,LOW
unableToProvideServices,ableToTransferRights,providedServicesToOtherEngagers,consumesSignificantAmount,contractIsPartOfASeries,MEDIUM
unableToProvideServices,ableToTransferRights,providedServicesToOtherEngagers,consumesSignificantAmount,standAloneContract,MEDIUM
unableToProvideServices,ableToTransferRights,providedServicesToOtherEngagers,consumesSignificantAmount,contractCouldBeExtended,MEDIUM
unableToProvideServices,ableToTransferRights,providedServicesToOtherEngagers,noSignificantAmount,contractIsPartOfASeries,MEDIUM
unableToProvideServices,ableToTransferRights,providedServicesToOtherEngagers,noSignificantAmount,standAloneContract,MEDIUM
unableToProvideServices,ableToTransferRights,providedServicesToOtherEngagers,noSignificantAmount,contractCouldBeExtended,MEDIUM
unableToProvideServices,ableToTransferRights,onlyContractForPeriod,consumesSignificantAmount,contractIsPartOfASeries,LOW
unableToProvideServices,ableToTransferRights,onlyContractForPeriod,consumesSignificantAmount,standAloneContract,LOW
unableToProvideServices,ableToTransferRights,onlyContractForPeriod,consumesSignificantAmount,contractCouldBeExtended,LOW
unableToProvideServices,ableToTransferRights,onlyContractForPeriod,noSignificantAmount,contractIsPartOfASeries,LOW
unableToProvideServices,ableToTransferRights,onlyContractForPeriod,noSignificantAmount,standAloneContract,LOW
unableToProvideServices,ableToTransferRights,onlyContractForPeriod,noSignificantAmount,contractCouldBeExtended,LOW
unableToProvideServices,ableToTransferRights,noKnowledgeOfExternalActivity,consumesSignificantAmount,contractIsPartOfASeries,LOW
unableToProvideServices,ableToTransferRights,noKnowledgeOfExternalActivity,consumesSignificantAmount,standAloneContract,LOW
unableToProvideServices,ableToTransferRights,noKnowledgeOfExternalActivity,consumesSignificantAmount,contractCouldBeExtended,LOW
unableToProvideServices,ableToTransferRights,noKnowledgeOfExternalActivity,noSignificantAmount,contractIsPartOfASeries,LOW
unableToProvideServices,ableToTransferRights,noKnowledgeOfExternalActivity,noSignificantAmount,standAloneContract,MEDIUM
unableToProvideServices,ableToTransferRights,noKnowledgeOfExternalActivity,noSignificantAmount,contractCouldBeExtended,LOW
unableToProvideServices,retainOwnershipRights,providedServicesToOtherEngagers,consumesSignificantAmount,contractIsPartOfASeries,MEDIUM
unableToProvideServices,retainOwnershipRights,providedServicesToOtherEngagers,consumesSignificantAmount,standAloneContract,HIGH
unableToProvideServices,retainOwnershipRights,providedServicesToOtherEngagers,consumesSignificantAmount,contractCouldBeExtended,MEDIUM
unableToProvideServices,retainOwnershipRights,providedServicesToOtherEngagers,noSignificantAmount,contractIsPartOfASeries,MEDIUM
unableToProvideServices,retainOwnershipRights,providedServicesToOtherEngagers,noSignificantAmount,standAloneContract,MEDIUM
unableToProvideServices,retainOwnershipRights,providedServicesToOtherEngagers,noSignificantAmount,contractCouldBeExtended,MEDIUM
unableToProvideServices,retainOwnershipRights,onlyContractForPeriod,consumesSignificantAmount,contractIsPartOfASeries,MEDIUM
unableToProvideServices,retainOwnershipRights,onlyContractForPeriod,consumesSignificantAmount,standAloneContract,MEDIUM
unableToProvideServices,retainOwnershipRights,onlyContractForPeriod,consumesSignificantAmount,contractCouldBeExtended,MEDIUM
unableToProvideServices,retainOwnershipRights,onlyContractForPeriod,noSignificantAmount,contractIsPartOfASeries,MEDIUM
unableToProvideServices,retainOwnershipRights,onlyContractForPeriod,noSignificantAmount,standAloneContract,MEDIUM
unableToProvideServices,retainOwnershipRights,onlyContractForPeriod,noSignificantAmount,contractCouldBeExtended,MEDIUM
unableToProvideServices,retainOwnershipRights,noKnowledgeOfExternalActivity,consumesSignificantAmount,contractIsPartOfASeries,MEDIUM
unableToProvideServices,retainOwnershipRights,noKnowledgeOfExternalActivity,consumesSignificantAmount,standAloneContract,MEDIUM
unableToProvideServices,retainOwnershipRights,noKnowledgeOfExternalActivity,consumesSignificantAmount,contractCouldBeExtended,MEDIUM
unableToProvideServices,retainOwnershipRights,noKnowledgeOfExternalActivity,noSignificantAmount,contractIsPartOfASeries,MEDIUM
unableToProvideServices,retainOwnershipRights,noKnowledgeOfExternalActivity,noSignificantAmount,standAloneContract,MEDIUM
unableToProvideServices,retainOwnershipRights,noKnowledgeOfExternalActivity,noSignificantAmount,contractCouldBeExtended,MEDIUM
unableToProvideServices,noRightsArise,providedServicesToOtherEngagers,consumesSignificantAmount,contractIsPartOfASeries,LOW
unableToProvideServices,noRightsArise,providedServicesToOtherEngagers,consumesSignificantAmount,standAloneContract,MEDIUM
unableToProvideServices,noRightsArise,providedServicesToOtherEngagers,consumesSignificantAmount,contractCouldBeExtended,MEDIUM
unableToProvideServices,noRightsArise,providedServicesToOtherEngagers,noSignificantAmount,contractIsPartOfASeries,LOW
unableToProvideServices,noRightsArise,providedServicesToOtherEngagers,noSignificantAmount,standAloneContract,MEDIUM
unableToProvideServices,noRightsArise,providedServicesToOtherEngagers,noSignificantAmount,contractCouldBeExtended,MEDIUM
unableToProvideServices,noRightsArise,onlyContractForPeriod,consumesSignificantAmount,contractIsPartOfASeries,LOW
unableToProvideServices,noRightsArise,onlyContractForPeriod,consumesSignificantAmount,standAloneContract,LOW
unableToProvideServices,noRightsArise,onlyContractForPeriod,consumesSignificantAmount,contractCouldBeExtended,LOW
unableToProvideServices,noRightsArise,onlyContractForPeriod,noSignificantAmount,contractIsPartOfASeries,LOW
unableToProvideServices,noRightsArise,onlyContractForPeriod,noSignificantAmount,standAloneContract,LOW
unableToProvideServices,noRightsArise,onlyContractForPeriod,noSignificantAmount,contractCouldBeExtended,LOW
unableToProvideServices,noRightsArise,noKnowledgeOfExternalActivity,consumesSignificantAmount,contractIsPartOfASeries,LOW
unableToProvideServices,noRightsArise,noKnowledgeOfExternalActivity,consumesSignificantAmount,standAloneContract,LOW
unableToProvideServices,noRightsArise,noKnowledgeOfExternalActivity,consumesSignificantAmount,contractCouldBeExtended,LOW
unableToProvideServices,noRightsArise,noKnowledgeOfExternalActivity,noSignificantAmount,contractIsPartOfASeries,LOW
unableToProvideServices,noRightsArise,noKnowledgeOfExternalActivity,noSignificantAmount,standAloneContract,MEDIUM
unableToProvideServices,noRightsArise,noKnowledgeOfExternalActivity,noSignificantAmount,contractCouldBeExtended,LOW
ableToProvideServicesWithPermission,rightsTransferredToClient,providedServicesToOtherEngagers,consumesSignificantAmount,contractIsPartOfASeries,LOW
ableToProvideServicesWithPermission,rightsTransferredToClient,providedServicesToOtherEngagers,consumesSignificantAmount,standAloneContract,MEDIUM
ableToProvideServicesWithPermission,rightsTransferredToClient,providedServicesToOtherEngagers,consumesSignificantAmount,contractCouldBeExtended,LOW
ableToProvideServicesWithPermission,rightsTransferredToClient,providedServicesToOtherEngagers,noSignificantAmount,contractIsPartOfASeries,MEDIUM
ableToProvideServicesWithPermission,rightsTransferredToClient,providedServicesToOtherEngagers,noSignificantAmount,standAloneContract,MEDIUM
ableToProvideServicesWithPermission,rightsTransferredToClient,providedServicesToOtherEngagers,noSignificantAmount,contractCouldBeExtended,MEDIUM
ableToProvideServicesWithPermission,rightsTransferredToClient,onlyContractForPeriod,consumesSignificantAmount,contractIsPartOfASeries,LOW
ableToProvideServicesWithPermission,rightsTransferredToClient,onlyContractForPeriod,consumesSignificantAmount,standAloneContract,LOW
ableToProvideServicesWithPermission,rightsTransferredToClient,onlyContractForPeriod,consumesSignificantAmount,contractCouldBeExtended,LOW
ableToProvideServicesWithPermission,rightsTransferredToClient,onlyContractForPeriod,noSignificantAmount,contractIsPartOfASeries,LOW
ableToProvideServicesWithPermission,rightsTransferredToClient,onlyContractForPeriod,noSignificantAmount,standAloneContract,LOW
ableToProvideServicesWithPermission,rightsTransferredToClient,onlyContractForPeriod,noSignificantAmount,contractCouldBeExtended,LOW
ableToProvideServicesWithPermission,rightsTransferredToClient,noKnowledgeOfExternalActivity,consumesSignificantAmount,contractIsPartOfASeries,LOW
ableToProvideServicesWithPermission,rightsTransferredToClient,noKnowledgeOfExternalActivity,consumesSignificantAmount,standAloneContract,LOW
ableToProvideServicesWithPermission,rightsTransferredToClient,noKnowledgeOfExternalActivity,consumesSignificantAmount,contractCouldBeExtended,LOW
ableToProvideServicesWithPermission,rightsTransferredToClient,noKnowledgeOfExternalActivity,noSignificantAmount,contractIsPartOfASeries,LOW
ableToProvideServicesWithPermission,rightsTransferredToClient,noKnowledgeOfExternalActivity,noSignificantAmount,standAloneContract,LOW
ableToProvideServicesWithPermission,rightsTransferredToClient,noKnowledgeOfExternalActivity,noSignificantAmount,contractCouldBeExtended,LOW
